id,name,species,type1,type2,abilities,hp,defense,spDefense,attack,spAttack,speed,statTotal,eggCycle,catchRate,height,weight,mRatio,fRatio,generation,eggGroup1,eggGroup2,legendary,colour,evolutionLine
143,Snorlax,Sleeping Pokémon,normal,,"['Immunity', 'Thick Fat', 'Gluttony']",160,65,110,110,65,30,540,10240,25,2.1,460,87.5,12.5,1,Monster,,FALSE,black,72
144,Articuno,Freeze Pokémon,ice,flying,"['Pressure', 'Snow Cloak']",90,100,125,85,95,85,580,20480,3,1.7,55.4,0,0,1,Undiscovered,,TRUE,blue,73
145,Zapdos,Electric Pokémon,electric,flying,"['Pressure', 'Static']",90,85,90,90,125,100,580,20480,3,1.6,52.6,0,0,1,Undiscovered,,TRUE,yellow,74
146,Moltres,Flame Pokémon,fire,flying,"['Pressure', 'Flame Body']",90,90,85,100,125,90,580,20480,3,2,60,0,0,1,Undiscovered,,TRUE,yellow,75
147,Dratini,Dragon Pokémon,dragon,,"['Shed Skin', 'Marvel Scale']",41,45,50,64,50,50,300,10240,45,1.8,3.3,50,50,1,Water1,Dragon,FALSE,blue,76
148,Dragonair,Dragon Pokémon,dragon,,"['Shed Skin', 'Marvel Scale']",61,65,70,84,70,70,420,10240,45,4,16.5,50,50,1,Water1,Dragon,FALSE,blue,76
149,Dragonite,Dragon Pokémon,dragon,flying,"['Inner Focus', 'Multiscale']",91,95,100,134,100,80,600,10240,45,2.2,210,50,50,1,Water1,Dragon,FALSE,brown,76
150,Mewtwo,Genetic Pokémon,psychic,,"['Pressure', 'Unnerve']",106,70,120,150,194,140,780,30720,3,2,122,0,0,1,Undiscovered,,TRUE,purple,77
151,Mew,New Species Pokémon,psychic,,['Synchronize'],100,100,100,100,100,100,600,30720,45,0.4,4,0,0,1,Undiscovered,,TRUE,pink,78
152,Chikorita,Leaf Pokémon,grass,,"['Overgrow', 'Leaf Guard']",45,65,65,49,49,45,318,5120,45,0.9,6.4,87.5,12.5,2,Monster,Grass,FALSE,green,79
153,Bayleef,Leaf Pokémon,grass,,"['Overgrow', 'Leaf Guard']",60,80,80,62,63,60,405,5120,45,1.2,15.8,87.5,12.5,2,Monster,Grass,FALSE,green,79
154,Meganium,Herb Pokémon,grass,,"['Overgrow', 'Leaf Guard']",80,100,100,82,83,80,525,5120,45,1.8,100.5,87.5,12.5,2,Monster,Grass,FALSE,green,79
155,Cyndaquil,Fire Mouse Pokémon,fire,,"['Blaze', 'Flash Fire']",39,43,50,52,60,65,309,5120,45,0.5,7.9,87.5,12.5,2,Field,,FALSE,yellow,80
156,Quilava,Volcano Pokémon,fire,,"['Blaze', 'Flash Fire']",58,58,65,64,80,80,405,5120,45,0.9,19,87.5,12.5,2,Field,,FALSE,yellow,80
157,Typhlosion,Volcano Pokémon,fire,,"['Blaze', 'Flash Fire']",78,78,85,84,109,100,534,5120,45,1.7,79.5,87.5,12.5,2,Field,,FALSE,yellow,80
158,Totodile,Big Jaw Pokémon,water,,"['Torrent', 'Sheer Force']",50,64,48,65,44,43,314,5120,45,0.6,9.5,87.5,12.5,2,Monster,Water1,FALSE,blue,81
159,Croconaw,Big Jaw Pokémon,water,,"['Torrent', 'Sheer Force']",65,80,63,80,59,58,405,5120,45,1.1,25,87.5,12.5,2,Monster,Water1,FALSE,blue,81
160,Feraligatr,Big Jaw Pokémon,water,,"['Torrent', 'Sheer Force']",85,100,83,105,79,78,530,5120,45,2.3,88.8,87.5,12.5,2,Monster,Water1,FALSE,blue,81
161,Sentret,Scout Pokémon,normal,,"['Run Away', 'Keen Eye', 'Frisk']",35,34,45,46,35,20,215,3840,255,0.8,6,50,50,2,Field,,FALSE,brown,82
162,Furret,Long Body Pokémon,normal,,"['Run Away', 'Keen Eye', 'Frisk']",85,64,55,76,45,90,415,3840,90,1.8,32.5,50,50,2,Field,,FALSE,brown,82
163,Hoothoot,Owl Pokémon,normal,flying,"['Insomnia', 'Keen Eye', 'Tinted Lens']",60,30,56,30,36,50,262,3840,255,0.7,21.2,50,50,2,Flying,,FALSE,brown,83
164,Noctowl,Owl Pokémon,normal,flying,"['Insomnia', 'Keen Eye', 'Tinted Lens']",100,50,96,50,86,70,452,3840,90,1.6,40.8,50,50,2,Flying,,FALSE,brown,83
165,Ledyba,Five Star Pokémon,bug,flying,"['Swarm', 'Early Bird', 'Rattled']",40,30,80,20,40,55,265,3840,255,1,10.8,50,50,2,Bug,,FALSE,red,84
166,Ledian,Five Star Pokémon,bug,flying,"['Swarm', 'Early Bird', 'Iron Fist']",55,50,110,35,55,85,390,3840,90,1.4,35.6,50,50,2,Bug,,FALSE,red,84
167,Spinarak,String Spit Pokémon,bug,poison,"['Swarm', 'Insomnia', 'Sniper']",40,40,40,60,40,30,250,3840,255,0.5,8.5,50,50,2,Bug,,FALSE,green,85
168,Ariados,Long Leg Pokémon,bug,poison,"['Swarm', 'Insomnia', 'Sniper']",70,70,70,90,60,40,400,3840,90,1.1,33.5,50,50,2,Bug,,FALSE,red,85
169,Crobat,Bat Pokémon,poison,flying,"['Inner Focus', 'Infiltrator']",85,80,80,90,70,130,535,3840,90,1.8,75,50,50,2,Flying,,FALSE,purple,17
170,Chinchou,Angler Pokémon,water,electric,"['Volt Absorb', 'Illuminate', 'Water Absorb']",75,38,56,38,56,67,330,5120,190,0.5,12,50,50,2,Water2,,FALSE,blue,86
171,Lanturn,Light Pokémon,water,electric,"['Volt Absorb', 'Illuminate', 'Water Absorb']",125,58,76,58,76,67,460,5120,75,1.2,22.5,50,50,2,Water2,,FALSE,blue,86
172,Pichu,Tiny Mouse Pokémon,electric,,"['Static', 'Lightningrod']",20,15,35,40,35,60,205,2560,190,0.3,2,50,50,2,Undiscovered,,FALSE,yellow,10
173,Cleffa,Star Shape Pokémon,fairy,,"['Cute Charm', 'Magic Guard', 'Friend Guard']",50,28,55,25,45,15,218,2560,150,0.3,3,25,75,2,Undiscovered,,FALSE,pink,14
174,Igglybuff,Balloon Pokémon,normal,fairy,"['Cute Charm', 'Competitive', 'Friend Guard']",90,15,20,30,40,15,210,2560,170,0.3,1,25,75,2,Undiscovered,,FALSE,pink,16
175,Togepi,Spike Ball Pokémon,fairy,,"['Hustle', 'Serene Grace', 'Super Luck']",35,65,65,20,40,20,245,2560,190,0.3,1.5,87.5,12.5,2,Undiscovered,,FALSE,white,87
176,Togetic,Happiness Pokémon,fairy,flying,"['Hustle', 'Serene Grace', 'Super Luck']",55,85,105,40,80,40,405,2560,75,0.6,3.2,87.5,12.5,2,Flying,Fairy,FALSE,white,87
177,Natu,Little Bird Pokémon,psychic,flying,"['Synchronize', 'Early Bird', 'Magic Bounce']",40,45,45,50,70,70,320,5120,190,0.2,2,50,50,2,Flying,,FALSE,green,88
178,Xatu,Mystic Pokémon,psychic,flying,"['Synchronize', 'Early Bird', 'Magic Bounce']",65,70,70,75,95,95,470,5120,75,1.5,15,50,50,2,Flying,,FALSE,green,88
179,Mareep,Wool Pokémon,electric,,"['Static', 'Plus']",55,40,45,40,65,35,280,5120,235,0.6,7.8,50,50,2,Monster,Field,FALSE,white,89
180,Flaaffy,Wool Pokémon,electric,,"['Static', 'Plus']",70,55,60,55,80,45,365,5120,120,0.8,13.3,50,50,2,Monster,Field,FALSE,pink,89
181,Ampharos,Light Pokémon,electric,,"['Static', 'Plus']",90,105,110,95,165,45,610,5120,45,1.4,61.5,50,50,2,Monster,Field,FALSE,yellow,89
182,Bellossom,Flower Pokémon,grass,,"['Chlorophyll', 'Healer']",75,95,100,80,90,50,490,5120,45,0.4,5.8,50,50,2,Grass,,FALSE,green,18
183,Marill,Aquamouse Pokémon,water,fairy,"['Thick Fat', 'Huge Power', 'Sap Sipper']",70,50,50,20,20,40,250,2560,190,0.4,8.5,50,50,2,Water1,Fairy,FALSE,blue,90
184,Azumarill,Aquarabbit Pokémon,water,fairy,"['Thick Fat', 'Huge Power', 'Sap Sipper']",100,80,80,50,60,50,420,2560,75,0.8,28.5,50,50,2,Water1,Fairy,FALSE,blue,90
185,Sudowoodo,Imitation Pokémon,rock,,"['Sturdy', 'Rock Head', 'Rattled']",70,115,65,100,30,30,410,5120,65,1.2,38,50,50,2,Mineral,,FALSE,brown,91
186,Politoed,Frog Pokémon,water,,"['Water Absorb', 'Damp', 'Drizzle']",90,75,100,75,90,70,500,5120,45,1.1,33.9,50,50,2,Water1,,FALSE,green,26
187,Hoppip,Cottonweed Pokémon,grass,flying,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",35,40,55,35,35,50,250,5120,255,0.4,0.5,50,50,2,Fairy,Grass,FALSE,pink,92
188,Skiploom,Cottonweed Pokémon,grass,flying,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",55,50,65,45,45,80,340,5120,120,0.6,1,50,50,2,Fairy,Grass,FALSE,green,92
189,Jumpluff,Cottonweed Pokémon,grass,flying,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",75,70,95,55,55,110,460,5120,45,0.8,3,50,50,2,Fairy,Grass,FALSE,blue,92
190,Aipom,Long Tail Pokémon,normal,,"['Run Away', 'Pickup', 'Skill Link']",55,55,55,70,40,85,360,5120,45,0.8,11.5,50,50,2,Field,,FALSE,purple,93
191,Sunkern,Seed Pokémon,grass,,"['Chlorophyll', 'Solar Power', 'Early Bird']",30,30,30,30,30,30,180,5120,235,0.3,1.8,50,50,2,Grass,,FALSE,yellow,94
192,Sunflora,Sun Pokémon,grass,,"['Chlorophyll', 'Solar Power', 'Early Bird']",75,55,85,75,105,30,425,5120,120,0.8,8.5,50,50,2,Grass,,FALSE,yellow,94
193,Yanma,Clear Wing Pokémon,bug,flying,"['Speed Boost', 'Compoundeyes', 'Frisk']",65,45,45,65,75,95,390,5120,75,1.2,38,50,50,2,Bug,,FALSE,red,95
194,Wooper,Water Fish Pokémon,water,ground,"['Damp', 'Water Absorb', 'Unaware']",55,45,25,45,25,15,210,5120,255,0.4,8.5,50,50,2,Water1,Field,FALSE,blue,96
195,Quagsire,Water Fish Pokémon,water,ground,"['Damp', 'Water Absorb', 'Unaware']",95,85,65,85,65,35,430,5120,90,1.4,75,50,50,2,Water1,Field,FALSE,blue,96
196,Espeon,Sun Pokémon,psychic,,"['Synchronize', 'Magic Bounce']",65,60,95,65,130,110,525,8960,45,0.9,26.5,87.5,12.5,2,Field,,FALSE,purple,67
197,Umbreon,Moonlight Pokémon,dark,,"['Synchronize', 'Inner Focus']",95,110,130,65,60,65,525,8960,45,1,27,87.5,12.5,2,Field,,FALSE,black,67
198,Murkrow,Darkness Pokémon,dark,flying,"['Insomnia', 'Super Luck', 'Prankster']",60,42,42,85,85,91,405,5120,30,0.5,2.1,50,50,2,Flying,,FALSE,black,97
199,Slowking,Royal Pokémon,water,psychic,"['Oblivious', 'Own Tempo', 'Regenerator']",95,80,110,75,100,30,490,5120,70,2,79.5,50,50,2,Monster,Water1,FALSE,pink,33
200,Misdreavus,Screech Pokémon,ghost,,['Levitate'],60,60,85,60,85,85,435,6400,45,0.7,1,50,50,2,Amorphous,,FALSE,gray,98
201,Unown,Symbol Pokémon,psychic,,['Levitate'],48,48,48,72,72,48,336,10240,225,0.5,5,0,0,2,Undiscovered,,FALSE,black,99
202,Wobbuffet,Patient Pokémon,psychic,,"['Shadow Tag', 'Telepathy']",190,58,58,33,33,33,405,5120,45,1.3,28.5,50,50,2,Amorphous,,FALSE,blue,100
203,Girafarig,Long Neck Pokémon,normal,psychic,"['Inner Focus', 'Early Bird', 'Sap Sipper']",70,65,65,80,90,85,455,5120,60,1.5,41.5,50,50,2,Field,,FALSE,yellow,101
204,Pineco,Bagworm Pokémon,bug,,"['Sturdy', 'Overcoat']",50,90,35,65,35,15,290,5120,190,0.6,7.2,50,50,2,Bug,,FALSE,gray,102
205,Forretress,Bagworm Pokémon,bug,steel,"['Sturdy', 'Overcoat']",75,140,60,90,60,40,465,5120,75,1.2,125.8,50,50,2,Bug,,FALSE,purple,102
206,Dunsparce,Land Snake Pokémon,normal,,"['Serene Grace', 'Run Away', 'Rattled']",100,70,65,70,65,45,415,5120,190,1.5,14,50,50,2,Field,,FALSE,yellow,103
207,Gligar,Flyscorpion Pokémon,ground,flying,"['Hyper Cutter', 'Sand Veil', 'Immunity']",65,105,65,75,35,85,430,5120,60,1.1,64.8,50,50,2,Bug,,FALSE,purple,104
208,Steelix,Iron Snake Pokémon,steel,ground,"['Rock Head', 'Sturdy', 'Sheer Force']",75,230,95,125,55,30,610,6400,25,9.2,400,50,50,2,Mineral,,FALSE,gray,41
209,Snubbull,Fairy Pokémon,fairy,,"['Intimidate', 'Run Away', 'Rattled']",60,50,40,80,40,30,300,5120,190,0.6,7.8,25,75,2,Field,Fairy,FALSE,pink,105
210,Granbull,Fairy Pokémon,fairy,,"['Intimidate', 'Quick Feet', 'Rattled']",90,75,60,120,60,45,450,5120,75,1.4,48.7,25,75,2,Field,Fairy,FALSE,purple,105
211,Qwilfish,Balloon Pokémon,water,poison,"['Poison Point', 'Swift Swim', 'Intimidate']",65,85,55,95,55,85,440,5120,45,0.5,3.9,50,50,2,Water2,,FALSE,gray,106
212,Scizor,Pincer Pokémon,bug,steel,"['Swarm', 'Technician', 'Light Metal']",70,140,100,150,65,75,600,6400,25,1.8,118,50,50,2,Bug,,FALSE,red,58
213,Shuckle,Mold Pokémon,bug,rock,"['Sturdy', 'Gluttony', 'Contrary']",20,230,230,10,10,5,505,5120,190,0.6,20.5,50,50,2,Bug,,FALSE,yellow,107
214,Heracross,Singlehorn Pokémon,bug,fighting,"['Swarm', 'Guts', 'Moxie']",80,115,105,185,40,75,600,6400,45,1.5,54,50,50,2,Bug,,FALSE,blue,108
215,Sneasel,Sharp Claw Pokémon,dark,ice,"['Inner Focus', 'Keen Eye', 'Pickpocket']",55,55,75,95,35,115,430,5120,60,0.9,28,50,50,2,Field,,FALSE,black,109
216,Teddiursa,Little Bear Pokémon,normal,,"['Pickup', 'Quick Feet', 'Honey Gather']",60,50,50,80,50,40,330,5120,120,0.6,8.8,50,50,2,Field,,FALSE,brown,110
217,Ursaring,Hibernator Pokémon,normal,,"['Guts', 'Quick Feet', 'Unnerve']",90,75,75,130,75,55,500,5120,60,1.8,125.8,50,50,2,Field,,FALSE,brown,110
218,Slugma,Lava Pokémon,fire,,"['Magma Armor', 'Flame Body', 'Weak Armor']",40,40,40,40,70,20,250,5120,190,0.7,35,50,50,2,Amorphous,,FALSE,red,111
219,Magcargo,Lava Pokémon,fire,rock,"['Magma Armor', 'Flame Body', 'Weak Armor']",60,120,80,50,90,30,430,5120,75,0.8,55,50,50,2,Amorphous,,FALSE,red,111
220,Swinub,Pig Pokémon,ice,ground,"['Oblivious', 'Snow Cloak', 'Thick Fat']",50,40,30,50,30,50,250,5120,225,0.4,6.5,50,50,2,Field,,FALSE,brown,112
221,Piloswine,Swine Pokémon,ice,ground,"['Oblivious', 'Snow Cloak', 'Thick Fat']",100,80,60,100,60,50,450,5120,75,1.1,55.8,50,50,2,Field,,FALSE,brown,112
222,Corsola,Coral Pokémon,water,rock,"['Hustle', 'Natural Cure', 'Regenerator']",65,95,95,55,65,35,410,5120,60,0.6,5,25,75,2,Water1,Water3,FALSE,pink,113
223,Remoraid,Jet Pokémon,water,,"['Hustle', 'Sniper', 'Moody']",35,35,35,65,65,65,300,5120,190,0.6,12,50,50,2,Water1,Water2,FALSE,gray,114
224,Octillery,Jet Pokémon,water,,"['Suction Cups', 'Sniper', 'Moody']",75,75,75,105,105,45,480,5120,75,0.9,28.5,50,50,2,Water1,Water2,FALSE,red,114
225,Delibird,Delivery Pokémon,ice,flying,"['Vital Spirit', 'Hustle', 'Insomnia']",45,45,45,55,65,75,330,5120,45,0.9,16,50,50,2,Water1,Field,FALSE,red,115
226,Mantine,Kite Pokémon,water,flying,"['Swift Swim', 'Water Absorb', 'Water Veil']",85,70,140,40,80,70,485,6400,25,2.1,220,50,50,2,Water1,,FALSE,purple,116
227,Skarmory,Armor Bird Pokémon,steel,flying,"['Keen Eye', 'Sturdy', 'Weak Armor']",65,140,70,80,40,70,465,6400,25,1.7,50.5,50,50,2,Flying,,FALSE,gray,117
228,Houndour,Dark Pokémon,dark,fire,"['Early Bird', 'Flash Fire', 'Unnerve']",45,30,50,60,80,65,330,5120,120,0.6,10.8,50,50,2,Field,,FALSE,black,118
229,Houndoom,Dark Pokémon,dark,fire,"['Early Bird', 'Flash Fire', 'Unnerve']",75,90,90,90,140,115,600,5120,45,1.4,35,50,50,2,Field,,FALSE,black,118
230,Kingdra,Dragon Pokémon,water,dragon,"['Swift Swim', 'Sniper', 'Damp']",75,95,95,95,95,85,540,5120,45,1.8,152,50,50,2,Water1,Dragon,FALSE,blue,54
231,Phanpy,Long Nose Pokémon,ground,,"['Pickup', 'Sand Veil']",90,60,40,60,40,40,330,5120,120,0.5,33.5,50,50,2,Field,,FALSE,blue,119
232,Donphan,Armor Pokémon,ground,,"['Sturdy', 'Sand Veil']",90,120,60,120,60,50,500,5120,60,1.1,120,50,50,2,Field,,FALSE,gray,119
233,Porygon2,Virtual Pokémon,normal,,"['Trace', 'Download', 'Analytic']",85,90,95,80,105,60,515,5120,45,0.6,32.5,0,0,2,Mineral,,FALSE,red,68
234,Stantler,Big Horn Pokémon,normal,,"['Intimidate', 'Frisk', 'Sap Sipper']",73,62,65,95,85,85,465,5120,45,1.4,71.2,50,50,2,Field,,FALSE,brown,120
235,Smeargle,Painter Pokémon,normal,,"['Own Tempo', 'Technician', 'Moody']",55,35,45,20,20,75,250,5120,45,1.2,58,50,50,2,Field,,FALSE,white,121
236,Tyrogue,Scuffle Pokémon,fighting,,"['Guts', 'Steadfast', 'Vital Spirit']",35,35,35,35,35,35,210,6400,75,0.7,21,100,0,2,Undiscovered,,FALSE,purple,47
237,Hitmontop,Handstand Pokémon,fighting,,"['Intimidate', 'Technician', 'Steadfast']",50,95,110,95,35,70,455,6400,45,1.4,48,100,0,2,Human-Like,,FALSE,brown,47
238,Smoochum,Kiss Pokémon,ice,psychic,"['Oblivious', 'Forewarn', 'Hydration']",45,15,65,30,85,65,305,6400,45,0.4,6,0,100,2,Undiscovered,,FALSE,pink,59
239,Elekid,Electric Pokémon,electric,,"['Static', 'Vital Spirit']",45,37,55,63,65,95,360,6400,45,0.6,23.5,75,25,2,Undiscovered,,FALSE,yellow,60
240,Magby,Live Coal Pokémon,fire,,"['Flame Body', 'Vital Spirit']",45,37,55,75,70,83,365,6400,45,0.7,21.4,75,25,2,Undiscovered,,FALSE,red,61
241,Miltank,Milk Cow Pokémon,normal,,"['Thick Fat', 'Scrappy', 'Sap Sipper']",95,105,70,80,40,100,490,5120,45,1.2,75.5,0,100,2,Field,,FALSE,pink,122
242,Blissey,Happiness Pokémon,normal,,"['Natural Cure', 'Serene Grace', 'Healer']",255,10,135,10,75,55,540,10240,30,1.5,46.8,0,100,2,Fairy,,FALSE,pink,51
243,Raikou,Thunder Pokémon,electric,,"['Pressure', 'Inner Focus']",90,75,100,85,115,115,580,20480,3,1.9,178,0,0,2,Undiscovered,,TRUE,yellow,123
244,Entei,Volcano Pokémon,fire,,"['Pressure', 'Inner Focus']",115,85,75,115,90,100,580,20480,3,2.1,198,0,0,2,Undiscovered,,TRUE,brown,124
245,Suicune,Aurora Pokémon,water,,"['Pressure', 'Inner Focus']",100,115,115,75,90,85,580,20480,3,2,187,0,0,2,Undiscovered,,TRUE,blue,125
246,Larvitar,Rock Skin Pokémon,rock,ground,"['Guts', 'Sand Veil']",50,50,50,64,45,41,300,10240,45,0.6,72,50,50,2,Monster,,FALSE,green,126
247,Pupitar,Hard Shell Pokémon,rock,ground,['Shed Skin'],70,70,70,84,65,51,410,10240,45,1.2,152,50,50,2,Monster,,FALSE,gray,126
248,Tyranitar,Armor Pokémon,rock,dark,"['Sand Stream', 'Unnerve']",100,150,120,164,95,71,700,10240,45,2,202,50,50,2,Monster,,FALSE,green,126
249,Lugia,Diving Pokémon,psychic,flying,"['Pressure', 'Multiscale']",106,130,154,90,90,110,680,30720,3,5.2,216,0,0,2,Undiscovered,,TRUE,white,127
250,Ho-Oh,Rainbow Pokémon,fire,flying,"['Pressure', 'Regenerator']",106,90,154,130,110,90,680,30720,3,3.8,199,0,0,2,Undiscovered,,TRUE,red,128
251,Celebi,Time Travel Pokémon,psychic,grass,['Natural Cure'],100,100,100,100,100,100,600,30720,45,0.6,5,0,0,2,Undiscovered,,TRUE,green,129
252,Treecko,Wood Gecko Pokémon,grass,,"['Overgrow', 'Unburden']",40,35,55,45,65,70,310,5120,45,0.5,5,87.5,12.5,3,Monster,Dragon,FALSE,green,130
253,Grovyle,Wood Gecko Pokémon,grass,,"['Overgrow', 'Unburden']",50,45,65,65,85,95,405,5120,45,0.9,21.6,87.5,12.5,3,Monster,Dragon,FALSE,green,130
254,Sceptile,Forest Pokémon,grass,,"['Overgrow', 'Unburden']",70,75,85,110,145,145,630,5120,45,1.7,52.2,87.5,12.5,3,Monster,Dragon,FALSE,green,130
255,Torchic,Chick Pokémon,fire,,"['Blaze', 'Speed Boost']",45,40,50,60,70,45,310,5120,45,0.4,2.5,87.5,12.5,3,Field,,FALSE,red,131
256,Combusken,Young Fowl Pokémon,fire,fighting,"['Blaze', 'Speed Boost']",60,60,60,85,85,55,405,5120,45,0.9,19.5,87.5,12.5,3,Field,,FALSE,red,131
257,Blaziken,Blaze Pokémon,fire,fighting,"['Blaze', 'Speed Boost']",80,80,80,160,130,100,630,5120,45,1.9,52,87.5,12.5,3,Field,,FALSE,red,131
258,Mudkip,Mud Fish Pokémon,water,,"['Torrent', 'Damp']",50,50,50,70,50,40,310,5120,45,0.4,7.6,87.5,12.5,3,Monster,Water1,FALSE,blue,132
259,Marshtomp,Mud Fish Pokémon,water,ground,"['Torrent', 'Damp']",70,70,70,85,60,50,405,5120,45,0.7,28,87.5,12.5,3,Monster,Water1,FALSE,blue,132
260,Swampert,Mud Fish Pokémon,water,ground,"['Torrent', 'Damp']",100,110,110,150,95,70,635,5120,45,1.5,81.9,87.5,12.5,3,Monster,Water1,FALSE,blue,132
261,Poochyena,Bite Pokémon,dark,,"['Run Away', 'Quick Feet', 'Rattled']",35,35,30,55,30,35,220,3840,255,0.5,13.6,50,50,3,Field,,FALSE,gray,133
262,Mightyena,Bite Pokémon,dark,,"['Intimidate', 'Quick Feet', 'Moxie']",70,70,60,90,60,70,420,3840,127,1,37,50,50,3,Field,,FALSE,gray,133
263,Zigzagoon,Tiny Racoon Pokémon,normal,,"['Pickup', 'Gluttony', 'Quick Feet']",38,41,41,30,30,60,240,3840,255,0.4,17.5,50,50,3,Field,,FALSE,brown,134
264,Linoone,Rush Pokémon,normal,,"['Pickup', 'Gluttony', 'Quick Feet']",78,61,61,70,50,100,420,3840,90,0.5,32.5,50,50,3,Field,,FALSE,white,134
265,Wurmple,Worm Pokémon,bug,,"['Shield Dust', 'Run Away']",45,35,30,45,20,20,195,3840,255,0.3,3.6,50,50,3,Bug,,FALSE,red,135
266,Silcoon,Cocoon Pokémon,bug,,['Shed Skin'],50,55,25,35,25,15,205,3840,120,0.6,10,50,50,3,Bug,,FALSE,white,135
267,Beautifly,Butterfly Pokémon,bug,flying,"['Swarm', 'Rivalry']",60,50,50,70,100,65,395,3840,45,1,28.4,50,50,3,Bug,,FALSE,yellow,135
268,Cascoon,Cocoon Pokémon,bug,,['Shed Skin'],50,55,25,35,25,15,205,3840,120,0.7,11.5,50,50,3,Bug,,FALSE,purple,135
269,Dustox,Poison Moth Pokémon,bug,poison,"['Shield Dust', 'Compoundeyes']",60,70,90,50,50,65,385,3840,45,1.2,31.6,50,50,3,Bug,,FALSE,green,135
270,Lotad,Water Weed Pokémon,water,grass,"['Swift Swim', 'Rain Dish', 'Own Tempo']",40,30,50,30,40,30,220,3840,255,0.5,2.6,50,50,3,Water1,Grass,FALSE,green,136
271,Lombre,Jolly Pokémon,water,grass,"['Swift Swim', 'Rain Dish', 'Own Tempo']",60,50,70,50,60,50,340,3840,120,1.2,32.5,50,50,3,Water1,Grass,FALSE,green,136
272,Ludicolo,Carefree Pokémon,water,grass,"['Swift Swim', 'Rain Dish', 'Own Tempo']",80,70,100,70,90,70,480,3840,45,1.5,55,50,50,3,Water1,Grass,FALSE,green,136
273,Seedot,Acorn Pokémon,grass,,"['Chlorophyll', 'Early Bird', 'Pickpocket']",40,50,30,40,30,30,220,3840,255,0.5,4,50,50,3,Field,Grass,FALSE,brown,137
274,Nuzleaf,Wily Pokémon,grass,dark,"['Chlorophyll', 'Early Bird', 'Pickpocket']",70,40,40,70,60,60,340,3840,120,1,28,50,50,3,Field,Grass,FALSE,brown,137
275,Shiftry,Wickid Pokémon,grass,dark,"['Chlorophyll', 'Early Bird', 'Pickpocket']",90,60,60,100,90,80,480,3840,45,1.3,59.6,50,50,3,Field,Grass,FALSE,brown,137
276,Taillow,TinySwallow Pokémon,normal,flying,"['Guts', 'Scrappy']",40,30,30,55,30,85,270,3840,200,0.3,2.3,50,50,3,Flying,,FALSE,blue,138
277,Swellow,Swallow Pokémon,normal,flying,"['Guts', 'Scrappy']",60,60,50,85,75,125,455,3840,45,0.7,19.8,50,50,3,Flying,,FALSE,blue,138
278,Wingull,Seagull Pokémon,water,flying,"['Keen Eye', 'Hydration', 'Rain Dish']",40,30,30,30,55,85,270,5120,190,0.6,9.5,50,50,3,Water1,Flying,FALSE,white,139
279,Pelipper,Water Bird Pokémon,water,flying,"['Keen Eye', 'Drizzle', 'Rain Dish']",60,100,70,50,95,65,440,5120,45,1.2,28,50,50,3,Water1,Flying,FALSE,yellow,139
280,Ralts,Feeling Pokémon,psychic,fairy,"['Synchronize', 'Trace', 'Telepathy']",28,25,35,25,45,40,198,5120,235,0.4,6.6,50,50,3,Amorphous,,FALSE,white,140
281,Kirlia,Emotion Pokémon,psychic,fairy,"['Synchronize', 'Trace', 'Telepathy']",38,35,55,35,65,50,278,5120,120,0.8,20.2,50,50,3,Amorphous,,FALSE,white,140
282,Gardevoir,Embrace Pokémon,psychic,fairy,"['Synchronize', 'Trace', 'Telepathy']",68,65,135,85,165,100,618,5120,45,1.6,48.4,50,50,3,Amorphous,,FALSE,white,140
283,Surskit,Pond Skater Pokémon,bug,water,"['Swift Swim', 'Rain Dish']",40,32,52,30,50,65,269,3840,200,0.5,1.7,50,50,3,Water1,Bug,FALSE,blue,141
284,Masquerain,Eyeball Pokémon,bug,flying,"['Intimidate', 'Unnerve']",70,62,82,60,100,80,454,3840,75,0.8,3.6,50,50,3,Water1,Bug,FALSE,blue,141
285,Shroomish,Mushroom Pokémon,grass,,"['Effect Spore', 'Poison Heal', 'Quick Feet']",60,60,60,40,40,35,295,3840,255,0.4,4.5,50,50,3,Fairy,Grass,FALSE,brown,142
286,Breloom,Mushroom Pokémon,grass,fighting,"['Effect Spore', 'Poison Heal', 'Technician']",60,80,60,130,60,70,460,3840,90,1.2,39.2,50,50,3,Fairy,Grass,FALSE,green,142
287,Slakoth,Slacker Pokémon,normal,,['Truant'],60,60,35,60,35,30,280,3840,255,0.8,24,50,50,3,Field,,FALSE,brown,143
288,Vigoroth,Wild Monkey Pokémon,normal,,['Vital Spirit'],80,80,55,80,55,90,440,3840,120,1.4,46.5,50,50,3,Field,,FALSE,white,143
289,Slaking,Lazy Pokémon,normal,,['Truant'],150,100,65,160,95,100,670,3840,45,2,130.5,50,50,3,Field,,FALSE,brown,143
290,Nincada,Trainee Pokémon,bug,ground,"['Compoundeyes', 'Run Away']",31,90,30,45,30,40,266,3840,255,0.5,5.5,50,50,3,Bug,,FALSE,gray,144
291,Ninjask,Ninja Pokémon,bug,flying,"['Speed Boost', 'Infiltrator']",61,45,50,90,50,160,456,3840,120,0.8,12,50,50,3,Bug,,FALSE,yellow,144
